"shop_id","supplier_id","product_id","cooperation_id1","cooperation_id2","cooperation_id3","cooperation_id4","cooperation_id5","mall_ex_product_id","name","name_kana","seo_keywords","catchcopy","catchcopy_mobile","search_keyword","outline_kbn","outline","outline_kbn_mobile","outline_mobile","desc_detail_kbn1","desc_detail1","desc_detail_kbn2","desc_detail2","desc_detail_kbn3","desc_detail3","desc_detail_kbn4","desc_detail4","return_exchange_message","desc_detail_kbn1_mobile","desc_detail1_mobile","desc_detail_kbn2_mobile","desc_detail2_mobile","return_exchange_message_mobile","note","display_price","display_special_price","shipping_type","shipping_size_kbn","point_kbn1","point1","display_from","display_to","sell_from","sell_to","max_sell_quantity","stock_management_kbn","stock_message_id","url","inquire_email","inquire_tel","display_kbn","category_id1","category_id2","category_id3","category_id4","category_id5","related_product_id_cs1","related_product_id_cs2","related_product_id_cs3","related_product_id_cs4","related_product_id_cs5","related_product_id_us1","related_product_id_us2","related_product_id_us3","related_product_id_us4","related_product_id_us5","image_head","image_mobile","icon_flg1","icon_term_end1","icon_flg2","icon_term_end2","icon_flg3","icon_term_end3","icon_flg4","icon_term_end4","icon_flg5","icon_term_end5","icon_flg6","icon_term_end6","icon_flg7","icon_term_end7","icon_flg8","icon_term_end8","icon_flg9","icon_term_end9","icon_flg10","icon_term_end10","mobile_disp_flg","use_variation_flg","fixed_purchase_flg","member_rank_discount_flg","display_member_rank","buyable_member_rank","valid_flg","date_created","date_changed","last_changed","google_shopping_flg","product_option_settings","arrival_mail_valid_flg","release_mail_valid_flg","resale_mail_valid_flg","select_variation_kbn","select_variation_kbn_mobile","plural_shipping_price_free_flg","age_limit_flg","digital_contents_flg","download_url","display_sell_flg","display_priority"
"0","","1h-H001","218","","","","","","(会員セール)　ハイビスカス・ヘアシャンプー300ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","2864","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H002","217","","","","","","(会員セール)　ハイビスカスヘアトリートメント230ｇ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","3581","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H004","216","","","","","","(会員セール)　ハイビスカスクレンジングジェル150ml","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","3703","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H005","215","","","","","","(会員セール)　ハイビスカスフェイスウォッシュ150ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","2455","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H005","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H006","214","","","","","","(会員セール)　ハイビスカス・スキンローション120ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","3887","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H006","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H007","178","","","","","","(会員セール)　ハイビスカス・エッセンス30ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","3887","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H007","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H008","177","","","","","","(会員セール)ハイビスカス・ミルク30ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","4604","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H008","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H009","227","","","","","","(会員セール)　ハイビスカス ヘアシャンプーファミリーサイズセット（700ml）","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","6138","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H009","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H010","220","","","","","","(会員セール)　HB・ヘアシャンプー詰替えパウチ　700ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","5524","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H010","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H011","221","","","","","","(会員セール)　ヘアシャンプー詰替え用専用ボトル　700ｍｌ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","818","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H011","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H012","224","","","","","","(会員セール)　無香料アカバナー ヘアシャンプー700mlサイズセット","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","6138","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H012","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
"0","","1h-H013","223","","","","","","(会員セール)　無香料アカバナー ヘアシャンプー詰め替えパウチ","","","","","","1","","0","","1","","1","","1","","1","","","0","","0","","","","5524","","2","M","2","1","2022/03/16 00:00:00","","2022/03/16 00:00:00","","10","0","","","","","2","c99ex9","","","","","","","","","","","","","","","img_1h-H013","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","0","","","0","2022/03/22 09:49:50","2022/04/29 06:08:40","batch","0","","0","0","0","STANDARD","STANDARD","1","0","0","","0","0"
